Modell;Hersteller;Jahr;Leistung_PS;Drehmoment_Nm;Hubraum_cm3;Zylinder;Höchstgeschwindigkeit_kmh;Leergewicht_kg;Preis_euro;BeschleunigungViertelmeile_sek
AMG E43 4Matic;Mercedes;2017;401;520;2996;6;250;1881;76696;13,14
S6;Audi;2017;450;550;3993;8;250;1941;81475;12,67
GT-R Track Edition;Nissan;2017;570;637;3799;6;315;1777;117900;11,2
911 Turbo;Porsche;2017;540;660;3800;6;320;1594;195453;10,77
Corvette Z06;Chevrolet;2017;659;881;6162;8;300;1603;140500;11,68
488 GTB;Ferrari;2017;670;710;3902;8;335;1546;280075;10,43
Charger SRT Hellcat;Dodge;2017;717;881;6166;8;328;2106;105900;11,85
CTS-V;Cadillac;2017;649;855;6162;8;320;1883;101300;11,86
RS 7 Sportback Performance;Audi;2017;605;700;3993;8;305;2001;136200;11,21
570S;McLaren;2017;570;600;3799;8;328;1440;185400;10,46
R8 V10;Audi;2017;610;560;5204;10;330;1580;194500;10,64
Continental GT Speed;Bentley;2017;635;820;5998;12;331;2368;233054;12,28
AMG S63 4Matic Coupe;Mercedes;2017;585;900;5461;8;300;2107;187068;12,1
M760iL;BMW;2017;610;800;6592;12;305;2263;174600;11,82
918 Spyder;Porsche;2017;887;917;4593;8;345;1650;768026;9,99
